confidence,last_seen,observed,relationship,source,target,weight
,,1,contributes_to,METRIC:CWLC,SCORE:SACI,0.3
,,1,contributes_to,METRIC:CAC,SCORE:SACI,0.25
,,1,contributes_to,METRIC:MDC,SCORE:SACI,0.2
,,1,contributes_to,METRIC:CTIC,SCORE:SACI,0.15
,,1,contributes_to,METRIC:TF,SCORE:SACI,0.1
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A01,LOGSOURCE:Security,5.0
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:Security,PLATFORM:Wazuh,1.0
high,2026-07-08T15:18:37.603129+00:00,1,emits,ASSET:A01,LOGSOURCE:Sysmon,4.0
high,2026-07-08T15:18:37.603129+00:00,1,collected_by,LOGSOURCE:Sysmon,PLATFORM:Wazuh,1.0
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A02,LOGSOURCE:ossec,2.0
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:ossec,PLATFORM:Wazuh,1.0
high,2026-07-08T23:21:03.579315+00:00,1,emits,ASSET:A02,LOGSOURCE:misp_enrichment,4.0
high,2026-07-08T23:21:03.579315+00:00,1,collected_by,LOGSOURCE:misp_enrichment,PLATFORM:Wazuh,1.0
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A03,LOGSOURCE:misp_api,4.0
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:misp_api,PLATFORM:Wazuh,1.0
high,2026-06-27T18:34:56.149396+00:00,1,emits,ASSET:A07,LOGSOURCE:pfsense_syslog,5.0
high,2026-06-27T18:34:56.149396+00:00,1,collected_by,LOGSOURCE:pfsense_syslog,PLATFORM:Wazuh,1.0
high,2026-07-08T12:01:05+00:00,1,emits,ASSET:A04,LOGSOURCE:Security,4.0
high,2026-07-08T12:01:05+00:00,1,collected_by,LOGSOURCE:Security,PLATFORM:Wazuh,1.0
high,2026-07-08T12:01:09+00:00,1,emits,ASSET:A04,LOGSOURCE:Sysmon,3.0
high,2026-07-08T12:01:09+00:00,1,collected_by,LOGSOURCE:Sysmon,PLATFORM:Wazuh,1.0
high,2026-07-08T23:21:03.579315+00:00,1,emits,ASSET:A04,LOGSOURCE:PowerShell,3.0
high,2026-07-08T23:21:03.579315+00:00,1,collected_by,LOGSOURCE:PowerShell,PLATFORM:Wazuh,1.0
high,2026-07-08T12:01:02+00:00,1,emits,ASSET:A05,LOGSOURCE:authlog,4.0
high,2026-07-08T12:01:02+00:00,1,collected_by,LOGSOURCE:authlog,PLATFORM:Wazuh,1.0
high,2026-07-08T12:01:03+00:00,1,emits,ASSET:A05,LOGSOURCE:syslog,2.0
high,2026-07-08T12:01:03+00:00,1,collected_by,LOGSOURCE:syslog,PLATFORM:Wazuh,1.0
high,2026-07-08T12:01:04+00:00,1,emits,ASSET:A05,LOGSOURCE:process,3.0
high,2026-07-08T12:01:04+00:00,1,collected_by,LOGSOURCE:process,PLATFORM:Wazuh,1.0
,,1,protected_by,ASSET:A01,CONTROL:C001,1.0
,,1,uses_log_source,CONTROL:C001,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C001,RULE:110006,1.0
,,1,alerted_in,RULE:110006,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C001,MITRE:T1071.004,1.0
,,1,protected_by,ASSET:A01,CONTROL:C002,1.0
,,1,uses_log_source,CONTROL:C002,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C002,RULE:110005,1.0
,,1,alerted_in,RULE:110005,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C002,MITRE:T1071.004,1.0
,,1,protected_by,ASSET:A01,CONTROL:C005,0.7
,,1,uses_log_source,CONTROL:C005,LOGSOURCE:Security,1.0
,,1,produces_rule,CONTROL:C005,RULE:60106,1.0
,,1,alerted_in,RULE:60106,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C005,MITRE:T1078,1.0
,,1,protected_by,ASSET:A02,CONTROL:C006,1.2
,,1,uses_log_source,CONTROL:C006,LOGSOURCE:Wazuh,1.0
,,1,produces_rule,CONTROL:C006,RULE:110100,1.0
,,1,alerted_in,RULE:110100,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C006,MITRE:T1071.004,1.0
,,1,protected_by,ASSET:A01,CONTROL:C007,1.0
,,1,uses_log_source,CONTROL:C007,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C007,RULE:110010,1.0
,,1,alerted_in,RULE:110010,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C007,MITRE:T1087,1.0
,,1,protected_by,ASSET:A01,CONTROL:C008,1.0
,,1,uses_log_source,CONTROL:C008,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C008,RULE:110011,1.0
,,1,alerted_in,RULE:110011,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C008,MITRE:T1482,1.0
,,1,protected_by,ASSET:A01,CONTROL:C009,0.8
,,1,uses_log_source,CONTROL:C009,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C009,RULE:110012,1.0
,,1,alerted_in,RULE:110012,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C009,MITRE:T1016,1.0
,,1,protected_by,ASSET:A01,CONTROL:C010,1.2
,,1,uses_log_source,CONTROL:C010,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C010,RULE:110013,1.0
,,1,alerted_in,RULE:110013,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C010,MITRE:T1105,1.0
,,1,protected_by,ASSET:A01,CONTROL:C011,0.8
,,1,uses_log_source,CONTROL:C011,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C011,RULE:110014,1.0
,,1,alerted_in,RULE:110014,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C011,MITRE:T1135,1.0
,,1,protected_by,ASSET:A01,CONTROL:C012,0.8
,,1,uses_log_source,CONTROL:C012,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C012,RULE:110011,1.0
,,1,alerted_in,RULE:110011,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C012,MITRE:T1018,1.0
,,1,protected_by,ASSET:A01,CONTROL:C013,0.8
,,1,uses_log_source,CONTROL:C013,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C013,RULE:110012,1.0
,,1,alerted_in,RULE:110012,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C013,MITRE:T1049,1.0
,,1,protected_by,ASSET:A07,CONTROL:C014,1.0
,,1,uses_log_source,CONTROL:C014,LOGSOURCE:pfsense_syslog,1.0
,,1,produces_rule,CONTROL:C014,RULE:110200,1.0
,,1,alerted_in,RULE:110200,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C014,MITRE:T1046,1.0
,,1,protected_by,ASSET:A07,CONTROL:C015,1.0
,,1,uses_log_source,CONTROL:C015,LOGSOURCE:pfsense_syslog,1.0
,,1,produces_rule,CONTROL:C015,RULE:110201,1.0
,,1,alerted_in,RULE:110201,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C015,MITRE:T1046,1.0
,,1,protected_by,ASSET:A07,CONTROL:C016,1.2
,,1,uses_log_source,CONTROL:C016,LOGSOURCE:pfsense_syslog,1.0
,,1,produces_rule,CONTROL:C016,RULE:110203,1.0
,,1,alerted_in,RULE:110203,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C016,MITRE:T1071.001,1.0
,,1,protected_by,ASSET:A04,CONTROL:C017,0.7
,,1,uses_log_source,CONTROL:C017,LOGSOURCE:Security,1.0
,,1,produces_rule,CONTROL:C017,RULE:110223,1.0
,,1,alerted_in,RULE:110223,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C017,MITRE:T1078,1.0
,,1,protected_by,ASSET:A04,CONTROL:C018,1.0
,,1,uses_log_source,CONTROL:C018,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C018,RULE:110220,1.0
,,1,alerted_in,RULE:110220,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C018,MITRE:T1087,1.0
,,1,protected_by,ASSET:A04,CONTROL:C019,0.9
,,1,uses_log_source,CONTROL:C019,LOGSOURCE:PowerShell,1.0
,,1,produces_rule,CONTROL:C019,RULE:110222,1.0
,,1,alerted_in,RULE:110222,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C019,MITRE:T1059.001,1.0
,,1,protected_by,ASSET:A05,CONTROL:C020,1.0
,,1,uses_log_source,CONTROL:C020,LOGSOURCE:authlog,1.0
,,1,produces_rule,CONTROL:C020,RULE:110230,1.0
,,1,alerted_in,RULE:110230,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C020,MITRE:T1110,1.0
,,1,protected_by,ASSET:A05,CONTROL:C021,0.8
,,1,uses_log_source,CONTROL:C021,LOGSOURCE:syslog,1.0
,,1,produces_rule,CONTROL:C021,RULE:110231,1.0
,,1,alerted_in,RULE:110231,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C021,MITRE:T1082,1.0
,,1,protected_by,ASSET:A05,CONTROL:C022,1.0
,,1,uses_log_source,CONTROL:C022,LOGSOURCE:process,1.0
,,1,produces_rule,CONTROL:C022,RULE:110232,1.0
,,1,alerted_in,RULE:110232,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C022,MITRE:T1046,1.0
,,1,protected_by,ASSET:A04,CONTROL:C023,0.7
,,1,uses_log_source,CONTROL:C023,LOGSOURCE:Security,1.0
,,1,produces_rule,CONTROL:C023,RULE:110240,1.0
,,1,alerted_in,RULE:110240,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C023,MITRE:T1078,1.0
,,1,protected_by,ASSET:A04,CONTROL:C024,1.0
,,1,uses_log_source,CONTROL:C024,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C024,RULE:110241,1.0
,,1,alerted_in,RULE:110241,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C024,MITRE:T1087,1.0
,,1,protected_by,ASSET:A04,CONTROL:C025,1.0
,,1,uses_log_source,CONTROL:C025,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C025,RULE:110242,1.0
,,1,alerted_in,RULE:110242,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C025,MITRE:T1016,1.0
,,1,protected_by,ASSET:A04,CONTROL:C026,0.9
,,1,uses_log_source,CONTROL:C026,LOGSOURCE:PowerShell,1.0
,,1,produces_rule,CONTROL:C026,RULE:110243,1.0
,,1,alerted_in,RULE:110243,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C026,MITRE:T1059.001,1.0
,,1,protected_by,ASSET:A04,CONTROL:C027,0.8
,,1,uses_log_source,CONTROL:C027,LOGSOURCE:Sysmon,1.0
,,1,produces_rule,CONTROL:C027,RULE:110244,1.0
,,1,alerted_in,RULE:110244,PLATFORM:Wazuh,1.0
,,1,detects_technique,CONTROL:C027,MITRE:T1071.004,1.0
high,,1,queries,INTEGRATION:custom-misp,PLATFORM:MISP,1.0
medium,,1,contains_ioc,PLATFORM:MISP,CTI:cti-test.example.com,1.0
,,1,triggers_integration,PLATFORM:Wazuh,INTEGRATION:custom-misp,1.0
,,1,matches_ioc,INTEGRATION:custom-misp,CTI:cti-test.example.com,1.0
,,1,converted_to_alert,CTI:cti-test.example.com,RULE:110100,1.0
,,1,mapped_to,CTI:cti-test.example.com,MITRE:T1071.004,1.0
high,,1,queries,INTEGRATION:custom-misp,PLATFORM:MISP,1.0
medium,,1,contains_ioc,PLATFORM:MISP,CTI:203.0.113.66,1.0
,,1,triggers_integration,PLATFORM:Wazuh,INTEGRATION:custom-misp,1.0
,,1,matches_ioc,INTEGRATION:custom-misp,CTI:203.0.113.66,1.0
,,1,converted_to_alert,CTI:203.0.113.66,RULE:110203,1.0
,,1,mapped_to,CTI:203.0.113.66,MITRE:T1071.004,1.0
medium,,1,maps_to,CTI:cti-test.example.com,MITRE:T1071.004,1.0
medium,,1,maps_to,CTI:203.0.113.66,MITRE:T1071.004,1.0
low,,1,uses,CTI:test-malware-family,MITRE:T1071.004,1.0
low,,1,uses,CTI:test-threat-actor,CTI:test-malware-family,1.0
low,,1,contains,CTI:saci-lab-campaign,CTI:cti-test.example.com,1.0
